ourX,ourY,ourHeading,ourRadarHeading,distanceToTarget,ourVelocity,ourEnergy,enemyX,enemyY,enemyHeading,enemyVelocity,enemyEnergy,hit
753.3447612984274,66.85285870551522,286.3598813541428,286.3598813541428,647.8662774018895,0.0,100.0,129.03344064761745,239.96001714162264,0.0,8.0,100.0,0
753.3447612984274,66.85285870551522,276.3598813541428,276.3598813541428,650.0495580565837,0.0,100.0,129.03344064761757,247.96001714162296,0.0,8.0,100.0,0
753.3447612984274,66.85285870551522,306.3598813541428,306.3598813541428,771.4082720056886,0.0,100.0,129.0334406476178,519.9600171416232,0.0,8.0,100.0,0
753.3447612984274,66.85285870551522,296.3598813541428,296.3598813541428,776.1342903478625,0.0,100.0,129.03344064761723,527.9600171416225,0.0,8.0,100.0,0
753.3447612984274,66.85285870551522,306.3598813541428,306.3598813541428,897.8354499310667,0.0,100.0,18.000000000000227,582.0000000000002,270.0,0.0,100.0,0
753.3447612984274,66.85285870551522,296.3598813541428,296.3598813541428,897.8354499310667,0.0,100.0,17.999999999999773,581.9999999999997,270.0,0.0,100.0,0
753.3447612984274,66.85285870551522,306.3598813541428,306.3598813541428,897.8354499310667,0.0,100.0,18.000000000000227,582.0000000000002,270.0,0.0,99.0,0
753.3447612984274,66.85285870551522,296.3598813541428,296.3598813541428,897.8354499310667,0.0,100.0,17.999999999999773,581.9999999999997,270.0,0.0,98.0,0
753.3447612984274,66.85285870551522,306.3598813541428,306.3598813541428,897.8354499310667,0.0,100.0,18.000000000000227,582.0000000000002,270.0,0.0,96.0,0
753.3447612984274,66.85285870551522,296.3598813541428,296.3598813541428,897.8354499310667,0.0,96.0,17.999999999999773,581.9999999999997,270.0,0.0,99.0,1
753.3447612984274,66.85285870551522,306.3598813541428,306.3598813541428,897.8354499310667,0.0,88.0,18.000000000000227,582.0000000000002,270.0,0.0,103.0,1
753.3447612984274,66.85285870551522,296.3598813541428,296.3598813541428,897.8354499310667,0.0,88.0,17.999999999999773,581.9999999999997,270.0,0.0,103.0,1
753.3447612984274,66.85285870551522,306.3598813541428,306.3598813541428,897.8354499310667,0.0,80.0,18.000000000000227,582.0000000000002,270.0,0.0,106.0,1
753.3447612984274,66.85285870551522,296.3598813541428,296.3598813541428,897.8354499310667,0.0,80.0,17.999999999999773,581.9999999999997,270.0,0.0,106.0,1
753.3447612984274,66.85285870551522,306.3598813541428,306.3598813541428,897.8354499310667,0.0,68.0,18.000000000000227,582.0000000000002,270.0,0.0,113.0,1
753.3447612984274,66.85285870551522,296.3598813541428,296.3598813541428,897.8354499310667,0.0,68.0,17.999999999999773,581.9999999999997,270.0,0.0,113.0,1
753.3447612984274,66.85285870551522,306.3598813541428,306.3598813541428,897.8354499310667,0.0,60.0,18.000000000000227,582.0000000000002,270.0,0.0,116.0,1
753.3447612984274,66.85285870551522,296.3598813541428,296.3598813541428,897.8354499310667,0.0,60.0,17.999999999999773,581.9999999999997,270.0,0.0,116.0,1
753.3447612984274,66.85285870551522,306.3598813541428,306.3598813541428,897.8354499310667,0.0,48.0,18.000000000000227,582.0000000000002,270.0,0.0,123.0,1
753.3447612984274,66.85285870551522,296.3598813541428,296.3598813541428,897.8354499310667,0.0,48.0,17.999999999999773,581.9999999999997,270.0,0.0,123.0,1
753.3447612984274,66.85285870551522,306.3598813541428,306.3598813541428,897.8354499310667,0.0,40.0,18.000000000000227,582.0000000000002,270.0,0.0,126.0,1
753.3447612984274,66.85285870551522,296.3598813541428,296.3598813541428,897.8354499310667,0.0,40.0,17.999999999999773,581.9999999999997,270.0,0.0,126.0,1
753.3447612984274,66.85285870551522,306.3598813541428,306.3598813541428,897.8354499310667,0.0,28.0,18.000000000000227,582.0000000000002,270.0,0.0,133.0,1
753.3447612984274,66.85285870551522,296.3598813541428,296.3598813541428,897.8354499310667,0.0,28.0,17.999999999999773,581.9999999999997,270.0,0.0,133.0,1
753.3447612984274,66.85285870551522,306.3598813541428,306.3598813541428,897.8354499310667,0.0,20.0,18.000000000000227,582.0000000000002,270.0,0.0,136.0,1
753.3447612984274,66.85285870551522,296.3598813541428,296.3598813541428,897.8354499310667,0.0,20.0,17.999999999999773,581.9999999999997,270.0,0.0,136.0,1
753.3447612984274,66.85285870551522,306.3598813541428,306.3598813541428,897.8354499310667,0.0,8.0,18.000000000000227,582.0000000000002,270.0,0.0,143.0,1
753.3447612984274,66.85285870551522,296.3598813541428,296.3598813541428,897.8354499310667,0.0,8.0,17.999999999999773,581.9999999999997,270.0,0.0,143.0,1
735.0630869385548,107.7044895726758,298.20138412808876,298.20138412808876,704.5544048963371,0.0,100.0,132.58570813910387,472.9686645115476,0.0,8.0,100.0,0
735.0630869385548,107.7044895726758,298.20138412808876,298.20138412808876,834.3904498583868,0.0,100.0,48.58570813910387,582.0000000000003,270.0,8.0,100.0,0
735.0630869385548,107.7044895726758,298.20138412808876,298.20138412808876,859.730016843291,0.0,100.0,18.000000000000227,582.0000000000003,270.0,0.0,99.0,0
735.0630869385548,107.7044895726758,298.20138412808876,298.20138412808876,859.730016843291,0.0,100.0,18.000000000000227,582.0000000000003,270.0,0.0,97.0,0
735.0630869385548,107.7044895726758,298.20138412808876,298.20138412808876,859.730016843291,0.0,88.0,18.000000000000227,582.0000000000003,270.0,0.0,103.0,1
735.0630869385548,107.7044895726758,298.20138412808876,298.20138412808876,859.730016843291,0.0,80.0,18.000000000000227,582.0000000000003,270.0,0.0,107.0,1
